Web link,URN,Provision type,Registration Status,Name,Address 1,Address 2,Town,County,Postcode,Government Office Region,Local authority,Sector,Places,Event type,Inspection date,Event number,Overall effectiveness,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
Ofsted Social Care Provider Webpage,SC068179,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Local Authority,4,Full inspection,25/08/2016,10013949,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC068205,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,1,Full inspection,08/09/2016,10013951,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC068223,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Wigan,Private,3,Interim inspection,07/07/2016,10016044,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC068392,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Ealing,Private,4,Full inspection,28/06/2016,10013958,Requires improvement,,,Requires improvement,Inadequate
Ofsted Social Care Provider Webpage,SC068410,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Warwickshire,Private,6,Full inspection,14/07/2016,10013959,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC068511,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Kent,Local Authority,6,Interim inspection,15/09/2016,10016051,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC068559,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Private,16,Full inspection,25/08/2016,10013961,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC068770,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Suffolk,Private,4,Full inspection,08/09/2016,10013965,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC068827,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Surrey,Local Authority,5,Full inspection,02/06/2016,10013968,Requires improvement,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC068955,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Norfolk,Local Authority,2,Full inspection,11/08/2016,10013970,Good,,,Good,Good
